boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
2,4,0,0,0,4,2,0
2,4,1,1,0,4,2,0
2,4,1,1,0,4,2,0
2,4,1,0,0,4,2,0
2,4,0,0,0,3,2,0
2,4,1,1,0,3,2,0
2,4,1,0,0,3,2,0
2,4,1,0,0,3,2,0
2,4,1,1,0,3,2,0
2,4,1,1,0,3,2,0
2,4,1,1,0,3,2,0
2,4,0,1,0,3,2,0
2,4,0,1,0,3,2,0
2,4,1,0,0,3,2,0
2,4,0,1,0,3,2,0
2,4,0,0,0,3,2,0
2,4,1,0,0,4,2,0
2,4,1,1,0,3,2,0
2,4,0,1,0,3,2,0
2,4,0,0,0,4,2,0
3,9,2,0,0,4,3,0
3,9,2,2,0,4,3,0
3,9,0,2,0,4,3,0
3,9,2,0,0,4,3,0
3,9,1,1,0,3,2,0
3,9,1,1,0,3,2,0
3,9,0,0,0,4,3,0
3,9,2,1,0,3,2,0
3,9,1,0,0,3,2,0
3,9,2,0,0,4,3,0
3,9,1,0,0,3,2,0
3,9,1,0,0,3,2,0
3,9,0,0,0,3,3,0
3,9,0,2,0,3,3,0
3,9,2,1,0,3,2,0
3,9,1,0,0,4,2,0
3,9,1,1,0,3,2,0
3,9,1,0,0,3,2,0
3,9,1,1,0,4,2,0
3,9,2,0,0,4,3,0
4,16,3,1,0,5,16,0
4,16,1,0,0,4,16,0
4,16,0,2,0,4,16,0
4,16,2,1,0,4,15,0
4,16,1,0,0,4,16,0
4,16,0,1,0,5,16,0
4,16,0,3,0,5,15,0
4,16,1,3,0,4,16,0
4,16,2,3,0,5,16,0
4,16,1,1,0,4,15,0
4,16,1,2,0,5,15,0
4,16,2,2,0,4,15,0
4,16,1,2,0,4,15,0
4,16,1,2,0,4,15,0
4,16,2,3,0,4,16,0
4,16,1,0,0,4,16,0
4,16,1,1,0,4,15,0
4,16,0,3,0,4,15,0
4,16,0,3,0,4,15,0
4,16,3,0,0,4,15,0
5,25,1,3,83,9,359,22264
5,25,2,3,85,8,206,12816
5,25,0,0,85,7,143,10528
5,25,3,0,85,6,82,6136
5,25,0,1,85,9,329,18736
5,25,4,3,84,11,890,36240
5,25,0,3,85,9,363,22432
5,25,4,1,85,8,193,11080
5,25,2,1,83,11,916,41224
5,25,4,1,85,8,193,11080
5,25,3,0,85,8,82,6136
5,25,1,0,85,9,268,19528
5,25,2,3,85,9,206,12768
5,25,2,4,86,10,362,24024
5,25,2,4,86,9,362,24032
5,25,4,1,85,10,193,11032
5,25,2,0,83,9,233,14648
5,25,3,3,84,11,597,30072
5,25,3,0,85,7,82,6136
5,25,4,2,85,11,595,30416
6,36,3,3,116,9,209,17840
6,36,4,5,118,8,106,9632
6,36,4,5,118,8,106,9632
6,36,2,5,121,13,2885,83144
6,36,3,5,120,7,82,7168
6,36,4,4,117,11,444,20832
6,36,4,3,119,10,343,21672
6,36,5,0,117,12,2094,68224
6,36,0,2,120,11,581,28504
6,36,2,3,119,13,1823,41896
6,36,0,3,119,13,2703,100728
6,36,4,0,119,12,1066,37920
6,36,1,4,123,9,251,18008
6,36,1,0,114,8,75,6544
6,36,3,4,119,13,1812,80408
6,36,4,1,119,21,14344,110576
6,36,2,3,119,12,1823,41896
6,36,2,3,119,12,1823,41896
6,36,5,1,121,8,176,14872
6,36,0,1,119,12,2742,93952
7,49,1,6,162,11,331,15232
7,49,6,5,161,15,3873,134408
7,49,0,4,166,13,1707,54168
7,49,5,2,163,29,19497,176536
7,49,2,4,158,25,17131,114856
7,49,1,2,164,66,72758,241712
7,49,1,6,162,10,331,15232
7,49,1,2,164,65,72758,241712
7,49,1,0,159,12,724,19544
7,49,3,0,164,1232,1989282,2647560
7,49,3,0,164,1241,1989282,2647560
7,49,0,4,166,13,1707,54168
7,49,1,5,167,220,326147,540744
7,49,4,1,164,101,133402,420960
7,49,3,4,160,13,2654,53224
7,49,6,3,166,669,1050391,1754800
7,49,1,4,166,82,97853,362112
7,49,5,2,163,28,19497,176536
7,49,5,0,163,13,1677,44816
7,49,3,6,166,666,1050391,1754800
8,64,1,3,220,10807,14478083,11536528
8,64,5,4,212,1148,1488393,2812152
8,64,7,5,215,290,357929,747736
8,64,5,4,212,1127,1488393,2812152
8,64,3,5,214,6169,8445225,16962672
8,64,4,6,213,5028,6792550,12596960
8,64,5,1,219,2212,2972688,7072944
8,64,7,0,215,13,1634,68136
8,64,1,2,217,1020,1371385,4858288
8,64,1,1,217,23,10420,127624
