boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
5,25,0,0,80,38,31426,2149720
5,25,0,0,80,38,31426,2149608
5,25,0,0,80,39,31426,2149608
5,25,0,1,80,37,29038,1995552
5,25,0,1,80,40,29038,1995664
5,25,0,1,80,44,29038,1995664
5,25,0,2,80,45,29001,1924968
5,25,0,2,80,38,29001,1924968
5,25,0,2,80,42,29001,1925080
5,25,0,3,80,39,30496,2043824
5,25,0,3,80,38,30496,2043936
5,25,0,3,80,38,30496,2043824
5,25,0,4,80,39,31128,2124128
5,25,0,4,80,38,31128,2124128
5,25,0,4,80,45,31128,2124016
5,25,0,5,79,46,24493,1906960
5,25,0,5,79,36,24493,1906960
5,25,0,5,79,43,24493,1906848
5,25,1,0,80,42,39482,2375568
5,25,1,0,80,45,39482,2375520
5,25,1,0,80,42,39482,2375680
5,25,1,1,80,37,27894,1881288
5,25,1,1,80,38,27894,1881288
5,25,1,1,80,36,27894,1881176
5,25,1,2,80,39,31423,1910632
5,25,1,2,80,38,31423,1910632
5,25,1,2,80,39,31423,1910744
5,25,1,3,80,38,31062,2010952
5,25,1,3,80,37,31062,2010840
5,25,1,3,80,43,31062,2010952
5,25,1,4,80,47,37276,2284632
5,25,1,4,80,43,37276,2284792
5,25,1,4,80,44,37276,2284792
5,25,1,5,79,38,28997,2148544
5,25,1,5,79,38,28997,2148432
5,25,1,5,79,51,28997,2148432
5,25,2,0,80,38,30476,1975312
5,25,2,0,80,37,30476,1975424
5,25,2,0,80,37,30476,1975424
5,25,2,1,80,36,26688,1759096
5,25,2,1,80,38,26688,1759208
5,25,2,1,80,35,26688,1759096
5,25,2,2,80,46,29531,1717040
5,25,2,2,80,37,29531,1717040
5,25,2,2,80,45,29531,1717152
5,25,2,3,80,38,28499,1815768
5,25,2,3,80,45,28499,1815768
5,25,2,3,80,38,28499,1815768
5,25,2,4,80,41,37022,2220168
5,25,2,4,80,43,37022,2220280
5,25,2,4,80,41,37022,2220168
5,25,2,5,80,49,50269,3554048
5,25,2,5,80,49,50269,3553936
5,25,2,5,80,49,50269,3554048
5,25,3,0,80,40,35502,2234728
5,25,3,0,80,43,35502,2234728
5,25,3,0,80,45,35502,2234728
5,25,3,1,80,38,28884,1911416
5,25,3,1,80,51,28884,1911416
5,25,3,1,80,38,28884,1911304
5,25,3,2,80,39,27734,1796056
5,25,3,2,80,36,27734,1796056
5,25,3,2,80,38,27734,1795944
5,25,3,3,80,38,28925,1938376
5,25,3,3,80,38,28925,1938264
5,25,3,3,80,39,28925,1938376
5,25,3,4,80,39,28473,1975672
5,25,3,4,80,36,28473,1975672
5,25,3,4,80,47,28473,1975784
5,25,3,5,79,38,21661,1719136
5,25,3,5,79,37,21661,1719136
5,25,3,5,79,34,21661,1719136
5,25,4,0,80,41,29284,2052224
5,25,4,0,80,39,29284,2052224
5,25,4,0,80,41,29284,2052224
5,25,4,1,80,39,28461,1975672
5,25,4,1,80,36,28461,1975672
5,25,4,1,80,37,28461,1975672
5,25,4,2,80,44,27921,1886216
5,25,4,2,80,37,27921,1886216
5,25,4,2,80,38,27921,1886104
5,25,4,3,80,49,33871,2175424
5,25,4,3,80,44,33871,2175312
5,25,4,3,80,43,33871,2175312
5,25,4,4,80,37,29179,2048472
5,25,4,4,80,38,29179,2048472
5,25,4,4,80,39,29179,2048360
5,25,4,5,79,33,20381,1652808
5,25,4,5,79,37,20381,1652696
5,25,4,5,79,33,20381,1652808
5,25,5,0,79,37,27273,2072608
5,25,5,0,79,38,27273,2072608
5,25,5,0,79,37,27273,2072608
5,25,5,1,79,39,30187,2218768
5,25,5,1,79,38,30187,2218768
5,25,5,1,79,36,30187,2218768
5,25,5,2,80,54,53948,3736664
5,25,5,2,80,51,53948,3736664
5,25,5,2,80,54,53948,3736664
5,25,5,3,79,47,29816,2197152
5,25,5,3,79,38,29816,2197264
5,25,5,3,79,36,29816,2197264
5,25,5,4,79,39,30703,2263568
5,25,5,4,79,39,30703,2263456
5,25,5,4,79,38,30703,2263456
5,25,5,5,80,32,17591,1381096
5,25,5,5,80,33,17591,1381096
5,25,5,5,80,32,17591,1381096
