boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
5,25,0,0,85,7,143,10528
5,25,0,0,85,7,143,10528
5,25,0,0,85,7,143,10528
5,25,0,1,85,9,329,18744
5,25,0,1,85,8,329,18744
5,25,0,1,85,7,329,18744
5,25,0,2,85,11,860,34784
5,25,0,2,85,10,860,34784
5,25,0,2,85,9,860,34784
5,25,0,3,85,8,363,22384
5,25,0,3,85,8,363,22384
5,25,0,3,85,8,363,22384
5,25,0,4,85,8,241,14336
5,25,0,4,85,8,241,14336
5,25,0,4,85,7,241,14336
5,25,0,5,83,7,194,14336
5,25,0,5,83,9,194,14336
5,25,0,5,83,7,194,14336
5,25,1,0,85,7,268,19528
5,25,1,0,85,8,268,19528
5,25,1,0,85,7,268,19528
5,25,1,1,84,7,79,5800
5,25,1,1,84,7,79,5800
5,25,1,1,84,6,79,5800
5,25,1,2,83,9,286,16728
5,25,1,2,83,8,286,16728
5,25,1,2,83,9,286,16728
5,25,1,3,83,10,359,22216
5,25,1,3,83,9,359,22216
5,25,1,3,83,8,359,22216
5,25,1,4,85,8,279,20872
5,25,1,4,85,8,279,20872
5,25,1,4,85,8,279,20872
5,25,1,5,83,6,37,1728
5,25,1,5,83,5,37,1728
5,25,1,5,83,6,37,1728
5,25,2,0,83,8,233,14600
5,25,2,0,83,8,233,14600
5,25,2,0,83,8,233,14600
5,25,2,1,83,11,916,41176
5,25,2,1,83,10,916,41176
5,25,2,1,83,11,916,41176
5,25,2,2,83,9,383,25768
5,25,2,2,83,7,383,25768
5,25,2,2,83,9,383,25768
5,25,2,3,85,8,206,12768
5,25,2,3,85,7,206,12768
5,25,2,3,85,8,206,12768
5,25,2,4,86,9,362,24032
5,25,2,4,86,9,362,24032
5,25,2,4,86,8,362,24080
5,25,2,5,84,8,214,16392
5,25,2,5,84,8,214,16392
5,25,2,5,84,8,214,16392
5,25,3,0,85,6,82,6136
5,25,3,0,85,8,82,6136
5,25,3,0,85,6,82,6136
5,25,3,1,84,8,343,20368
5,25,3,1,84,8,343,20368
5,25,3,1,84,8,343,20368
5,25,3,2,85,8,207,13664
5,25,3,2,85,7,207,13664
5,25,3,2,85,7,207,13664
5,25,3,3,84,9,597,30024
5,25,3,3,84,8,597,30024
5,25,3,3,84,10,597,30024
5,25,3,4,81,10,389,24480
5,25,3,4,81,8,389,24480
5,25,3,4,81,8,389,24480
5,25,3,5,82,8,219,13048
5,25,3,5,82,7,219,13048
5,25,3,5,82,7,219,13048
5,25,4,0,85,8,205,13720
5,25,4,0,85,8,205,13720
5,25,4,0,85,8,205,13720
5,25,4,1,85,7,193,11032
5,25,4,1,85,7,193,11032
5,25,4,1,85,7,193,11032
5,25,4,2,85,8,595,30416
5,25,4,2,85,9,595,30416
5,25,4,2,85,8,595,30416
5,25,4,3,84,10,890,36240
5,25,4,3,84,12,890,36240
5,25,4,3,84,10,890,36240
5,25,4,4,84,8,430,24872
5,25,4,4,84,8,430,24872
5,25,4,4,84,9,430,24872
5,25,4,5,82,8,81,4696
5,25,4,5,82,6,81,4696
5,25,4,5,82,7,81,4696
5,25,5,0,86,10,400,21544
5,25,5,0,86,8,400,21544
5,25,5,0,86,8,400,21544
5,25,5,1,82,8,144,11256
5,25,5,1,82,7,144,11256
5,25,5,1,82,7,144,11256
5,25,5,2,86,6,69,4640
5,25,5,2,86,7,69,4640
5,25,5,2,86,7,69,4640
5,25,5,3,81,6,80,5576
5,25,5,3,81,6,80,5576
5,25,5,3,81,7,80,5768
5,25,5,4,86,7,253,19080
5,25,5,4,86,10,253,19080
5,25,5,4,86,8,253,19080
5,25,5,5,82,9,331,18576
5,25,5,5,82,8,331,18576
5,25,5,5,82,7,331,18576
