boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
5,25,0,0,80,18,25,118160
5,25,0,0,80,18,25,118272
5,25,0,0,80,19,25,118272
5,25,0,1,81,24,635,118240
5,25,0,1,81,27,635,118352
5,25,0,1,81,22,635,118352
5,25,0,2,80,19,25,118272
5,25,0,2,80,18,25,118272
5,25,0,2,80,18,25,118160
5,25,0,3,80,19,25,118272
5,25,0,3,80,18,25,118272
5,25,0,3,80,19,25,118272
5,25,0,4,80,19,25,118160
5,25,0,4,80,21,25,118160
5,25,0,4,80,20,25,118272
5,25,0,5,80,20,25,118216
5,25,0,5,80,19,25,118216
5,25,0,5,80,18,25,118328
5,25,1,0,80,18,25,118160
5,25,1,0,80,23,25,118272
5,25,1,0,80,31,25,118160
5,25,1,1,80,21,25,118160
5,25,1,1,80,20,25,118272
5,25,1,1,80,19,25,118272
5,25,1,2,80,20,108,118104
5,25,1,2,80,27,108,118216
5,25,1,2,80,26,108,118216
5,25,1,3,80,18,25,118272
5,25,1,3,80,20,25,118272
5,25,1,3,80,18,25,118160
5,25,1,4,80,19,25,118272
5,25,1,4,80,24,25,118272
5,25,1,4,80,19,25,118160
5,25,1,5,80,23,108,118160
5,25,1,5,80,19,108,118272
5,25,1,5,80,19,108,118272
5,25,2,0,82,20,212,118240
5,25,2,0,82,20,212,118352
5,25,2,0,82,19,212,118240
5,25,2,1,80,18,25,118160
5,25,2,1,80,18,25,118160
5,25,2,1,80,19,25,118272
5,25,2,2,80,18,25,118272
5,25,2,2,80,21,25,118160
5,25,2,2,80,18,25,118272
5,25,2,3,80,19,25,118160
5,25,2,3,80,18,25,118160
5,25,2,3,80,26,25,118160
5,25,2,4,82,29,239,118184
5,25,2,4,82,20,239,118296
5,25,2,4,82,31,239,118184
5,25,2,5,80,19,25,118384
5,25,2,5,80,17,25,118272
5,25,2,5,80,19,25,118272
5,25,3,0,80,18,25,118160
5,25,3,0,80,20,25,118272
5,25,3,0,80,18,25,118272
5,25,3,1,81,20,38,118104
5,25,3,1,81,25,38,118104
5,25,3,1,81,30,38,118216
5,25,3,2,80,21,250,118344
5,25,3,2,80,27,250,118296
5,25,3,2,80,22,250,118408
5,25,3,3,80,22,52,118216
5,25,3,3,80,28,52,118104
5,25,3,3,80,19,52,118216
5,25,3,4,80,17,25,118272
5,25,3,4,80,20,25,118160
5,25,3,4,80,18,25,118272
5,25,3,5,80,25,72,118272
5,25,3,5,80,21,72,118160
5,25,3,5,80,19,72,118272
5,25,4,0,81,21,302,118240
5,25,4,0,81,20,302,118240
5,25,4,0,81,20,302,118400
5,25,4,1,81,22,552,118352
5,25,4,1,81,20,552,118240
5,25,4,1,81,26,552,118352
5,25,4,2,80,19,25,118160
5,25,4,2,80,19,25,118160
5,25,4,2,80,18,25,118160
5,25,4,3,81,20,590,118240
5,25,4,3,81,22,590,118352
5,25,4,3,81,23,590,118352
5,25,4,4,80,18,25,118160
5,25,4,4,80,18,25,118160
5,25,4,4,80,20,25,118272
5,25,4,5,80,21,25,118328
5,25,4,5,80,18,25,118328
5,25,4,5,80,19,25,118328
5,25,5,0,81,19,152,118272
5,25,5,0,81,20,152,118272
5,25,5,0,81,20,152,118160
5,25,5,1,80,21,25,118328
5,25,5,1,80,19,25,118216
5,25,5,1,80,18,25,118216
5,25,5,2,80,19,25,118272
5,25,5,2,80,18,25,118384
5,25,5,2,80,21,25,118272
5,25,5,3,80,23,25,118328
5,25,5,3,80,18,25,118216
5,25,5,3,80,18,25,118216
5,25,5,4,81,25,152,118160
5,25,5,4,81,21,152,118160
5,25,5,4,81,27,152,118160
5,25,5,5,81,19,52,118216
5,25,5,5,81,21,52,118104
5,25,5,5,81,18,52,118104
