boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
2,2,0,0,0,4,2,0
2,2,0,0,0,3,2,0
2,2,1,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,0,0,3,2,0
2,2,1,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,0,0,3,2,0
2,2,1,0,0,4,2,0
2,2,1,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,1,0,0,3,2,0
2,2,1,1,0,3,2,0
2,2,1,1,0,4,2,0
2,2,0,0,0,3,2,0
2,2,0,0,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,0,0,4,2,0
2,2,1,1,0,3,2,0
3,4,1,0,0,3,2,0
3,4,1,2,0,3,2,0
3,4,0,2,0,18,3,0
3,4,1,1,0,3,2,0
3,4,2,0,0,19,3,0
3,4,1,1,0,3,2,0
3,4,2,1,0,4,2,0
3,4,2,1,0,3,2,0
3,4,1,2,0,3,2,0
3,4,0,0,0,18,3,0
3,4,1,2,0,5,2,0
3,4,1,1,0,3,2,0
3,4,1,2,0,3,2,0
3,4,0,0,0,19,3,0
3,4,2,2,0,19,3,0
3,4,2,0,0,19,3,0
3,4,1,0,0,3,2,0
3,4,2,1,0,4,2,0
3,4,1,2,0,3,2,0
3,4,0,0,0,17,3,0
4,8,2,0,24,18,14,116768
4,8,2,3,24,19,14,116768
4,8,1,2,0,19,15,0
4,8,3,1,24,18,14,116768
4,8,1,0,24,18,14,116768
4,8,0,2,24,19,14,116768
4,8,0,3,0,19,15,0
4,8,2,3,24,19,14,116768
4,8,0,0,0,18,15,0
4,8,3,1,24,18,14,116768
4,8,1,2,0,19,15,0
4,8,3,3,0,19,15,0
4,8,2,0,24,20,14,116768
4,8,0,1,24,19,14,116880
4,8,2,1,0,20,15,0
4,8,0,1,24,20,14,116768
4,8,1,3,24,19,14,116768
4,8,2,1,0,18,15,0
4,8,2,0,24,18,14,116768
4,8,1,0,24,18,14,116768
5,12,2,0,39,19,22,118328
5,12,2,4,39,19,22,118440
5,12,4,3,39,19,22,118384
5,12,2,1,40,19,22,118440
5,12,4,2,38,18,22,118440
5,12,1,1,39,19,22,118384
5,12,3,1,39,19,22,118384
5,12,4,0,39,21,22,118328
5,12,0,3,39,18,22,118328
5,12,3,1,39,19,22,118384
5,12,4,3,39,19,22,118384
5,12,0,0,39,19,22,118496
5,12,4,3,39,18,22,118496
5,12,3,3,40,20,22,118328
5,12,3,3,40,19,22,118328
5,12,1,0,40,19,22,118328
5,12,3,1,39,19,22,118384
5,12,3,1,39,19,22,118384
5,12,4,2,38,18,22,118328
5,12,1,4,39,19,22,118328
6,18,3,2,63,21,34,121160
6,18,1,0,63,20,34,121104
6,18,1,4,62,21,34,121160
6,18,5,5,63,20,35,121272
6,18,0,4,63,20,34,121328
6,18,4,3,62,20,34,121216
6,18,3,0,62,20,34,121104
6,18,4,3,62,20,34,121216
6,18,5,1,63,19,34,121216
6,18,3,2,63,21,34,121048
6,18,5,1,63,20,34,121216
6,18,2,4,63,20,34,121272
6,18,5,5,63,19,35,121272
6,18,4,0,62,20,34,121104
6,18,2,4,63,20,34,121272
6,18,4,2,63,20,34,121104
6,18,5,2,62,21,34,121160
6,18,1,3,62,29,34,121104
6,18,3,5,62,20,34,121272
6,18,3,4,63,20,34,121384
7,24,5,3,83,21,47,124184
7,24,0,5,85,21,48,123792
7,24,6,6,85,21,46,124352
7,24,6,3,84,21,46,124296
7,24,2,0,85,26,46,124352
7,24,3,2,86,21,48,123960
7,24,5,2,85,21,46,124240
7,24,5,6,86,21,47,124296
7,24,0,5,85,21,48,123792
7,24,3,6,85,20,46,124352
7,24,2,1,85,20,46,124296
7,24,3,0,85,22,47,124240
7,24,3,5,85,20,46,123736
7,24,0,6,85,21,46,124352
7,24,3,3,85,23,46,124296
7,24,0,2,84,20,46,124352
7,24,1,3,86,21,46,123960
7,24,6,1,86,21,47,123960
7,24,2,0,85,20,46,124352
7,24,2,2,86,20,46,124016
8,32,1,5,115,21,62,127976
8,32,5,6,116,21,62,127976
8,32,6,3,116,21,63,127752
8,32,4,7,116,22,64,128032
8,32,2,3,116,22,62,127696
8,32,2,6,117,21,62,127920
8,32,0,7,117,22,63,128032
8,32,4,2,115,20,62,127976
8,32,4,2,115,22,62,127976
8,32,6,2,116,21,62,127696
8,32,3,2,116,21,62,127808
8,32,0,5,117,21,62,127752
8,32,1,2,116,21,62,128032
8,32,6,6,115,20,63,127920
8,32,4,0,118,20,63,128032
8,32,6,6,115,22,63,127920
8,32,5,3,114,22,62,127696
8,32,7,0,117,22,62,127752
8,32,2,6,117,21,62,128032
8,32,4,4,115,21,63,127808
9,40,2,1,148,22,80,131744
9,40,0,7,148,22,78,131752
9,40,7,4,146,23,78,131464
9,40,8,6,150,21,79,132088
9,40,2,3,147,24,78,131752
9,40,4,6,146,22,78,132088
9,40,7,0,147,21,80,131464
9,40,6,0,149,21,80,131976
9,40,4,2,145,22,79,131576
9,40,8,5,148,21,78,132136
9,40,3,8,148,21,78,131408
9,40,2,8,149,22,78,131528
9,40,2,1,148,22,80,131696
9,40,5,0,145,21,79,131304
9,40,1,3,147,21,78,131136
9,40,2,5,148,21,80,132144
9,40,5,5,148,22,78,131976
9,40,3,1,146,21,82,131752
9,40,5,7,146,21,81,131416
9,40,6,0,149,22,80,131976
10,50,5,8,188,22,98,137376
10,50,3,8,189,23,98,137824
10,50,8,3,188,23,98,137152
10,50,1,3,188,29,98,137488
10,50,5,0,188,21,98,136456
10,50,2,9,189,22,99,137432
10,50,4,8,190,23,98,137712
10,50,7,3,188,23,98,137544
10,50,8,1,188,24,98,137320
10,50,4,3,188,22,98,137544
10,50,7,1,189,31,100,136984
10,50,2,2,187,21,98,136624
10,50,3,2,188,22,98,136872
10,50,7,7,187,22,98,136736
10,50,2,5,188,22,98,137320
10,50,0,5,188,26,98,136432
10,50,9,3,189,23,99,137320
10,50,3,5,189,22,100,137096
